ID,Text,Comment
Building.PipeBox.DisplayName,Box with pipe,
Building.PipeStraight.DisplayName,Pipe Straight,
Building.PipeTurn.DisplayName,Pipe Turn,
Building.PipeTIntersection.DisplayName,Pipe T Intersection,
Building.PipeXIntersection.DisplayName,Pipe X Intersection,
Building.PipeUpward.DisplayName,Upward Pipe,
Building.PipeVertical.DisplayName,Vertical Pipe,
Building.PipeDownward.DisplayName,Downward Pipe,
Building.PipeBox.Description,A pipe in a waterproof block.,
Building.PipeValve.DisplayName,Pipe Valve,
Building.PipeValve.Description,Dump water when not submerged.,
Building.PipeWaterPump.DisplayName,Box with Water Pump,
Building.PipeWaterPump.Description,Transfers water using power up to a maximum depth of 6.,
Building.PipeWaterPump.TakeToPipe,Take water to the pipes.,
Building.PipeWaterPump.TakeFromPipe,Take water from the pipes.,
Building.PipeGeneric.Description,Transfers water.,
